Date,Date2,Year,Month,Labor Force,Employment,Unemployment,Unemployment Rate
40939,01/31/2012,2012,1,970467,910132,60335,6.2
40968,02/29/2012,2012,2,975218,916397,58821,6
40999,03/31/2012,2012,3,975894,920414,55480,5.7
41029,04/30/2012,2012,4,977545,925725,51820,5.3
41060,05/31/2012,2012,5,980346,925446,54900,5.6
41090,06/30/2012,2012,6,985918,925123,60795,6.2
41121,07/31/2012,2012,7,987168,926319,60849,6.2
41152,08/31/2012,2012,8,983445,926331,57114,5.8
41182,09/30/2012,2012,9,990047,936851,53196,5.4
41213,10/31/2012,2012,10,997883,945455,52428,5.3
41243,11/30/2012,2012,11,1002068,951832,50236,5
41274,12/31/2012,2012,12,998046,946506,51540,5.2
41305,01/31/2013,2013,1,1001517,942850,58667,5.9
41333,02/28/2013,2013,2,1004387,949097,55290,5.5
41364,03/31/2013,2013,3,1005799,952135,53664,5.3
41394,04/30/2013,2013,4,1013469,962955,50514,5
41425,05/31/2013,2013,5,1015995,963227,52768,5.2
41455,06/30/2013,2013,6,1020906,962747,58159,5.7
41486,07/31/2013,2013,7,1021681,965005,56676,5.5
41517,08/31/2013,2013,8,1018560,964631,53929,5.3
41547,09/30/2013,2013,9,1024099,970374,53725,5.2
41578,10/31/2013,2013,10,1022669,970524,52145,5.1
41608,11/30/2013,2013,11,1032556,984452,48104,4.7
41639,12/31/2013,2013,12,1026954,981993,44961,4.4
41670,01/31/2014,2014,1,1030117,981844,48273,4.7
41698,02/28/2014,2014,2,1039235,990351,48884,4.7
41729,03/31/2014,2014,3,1044442,997218,47224,4.5
41759,04/30/2014,2014,4,1042466,1001860,40606,3.9
41790,05/31/2014,2014,5,1043412,999598,43814,4.2
41820,06/30/2014,2014,6,1048186,1000960,47226,4.5
41851,07/31/2014,2014,7,1050454,1001372,49082,4.7
41882,08/31/2014,2014,8,1046454,998741,47713,4.6
41912,09/30/2014,2014,9,1048533,1003952,44581,4.3
41943,10/31/2014,2014,10,1053797,1012330,41467,3.9
41973,11/30/2014,2014,11,1057605,1016986,40619,3.8
42004,12/31/2014,2014,12,1049053,1012433,36620,3.5
42035,01/31/2015,2015,1,1054224,1012751,41473,3.9
42063,02/28/2015,2015,2,1058149,1019801,38348,3.6
42094,03/31/2015,2015,3,1060188,1024377,35811,3.4
42124,04/30/2015,2015,4,1067752,1034907,32845,3.1
42155,05/31/2015,2015,5,1072722,1037287,35435,3.3
42185,06/30/2015,2015,6,1076463,1037834,38629,3.6
42216,07/31/2015,2015,7,1075004,1035663,39341,3.7
42247,08/31/2015,2015,8,1072510,1036118,36392,3.4
42277,09/30/2015,2015,9,1077644,1041368,36276,3.4
42308,10/31/2015,2015,10,1084271,1048676,35595,3.3
42338,11/30/2015,2015,11,1092250,1057089,35161,3.2
42369,12/31/2015,2015,12,1090788,1057885,32903,3
42400,01/31/2016,2016,1,1094801,1059070,35731,3.3
42429,02/29/2016,2016,2,1106666,1071382,35284,3.2
42460,03/31/2016,2016,3,1110241,1074939,35302,3.2
42490,04/30/2016,2016,4,1112188,1079790,32398,2.9
42521,05/31/2016,2016,5,1111706,1078918,32788,2.9
42551,06/30/2016,2016,6,1120148,1081210,38938,3.5
42582,07/31/2016,2016,7,1125640,1085113,40527,3.6
42613,08/31/2016,2016,8,1121274,1082166,39108,3.5
42643,09/30/2016,2016,9,1127529,1087792,39737,3.5
42674,10/31/2016,2016,10,1131549,1093731,37818,3.3
42704,11/30/2016,2016,11,1135580,1098984,36596,3.2
42735,12/31/2016,2016,12,1132037,1095612,36425,3.2
42766,01/31/2017,2017,1,1129169,1088835,40334,3.6
42794,02/28/2017,2017,2,1139870,1098696,41174,3.6
42825,03/31/2017,2017,3,1142449,1103775,38674,3.4
42855,04/30/2017,2017,4,1146880,1112890,33990,3
42886,05/31/2017,2017,5,1145108,1110261,34847,3
42916,06/30/2017,2017,6,1150597,1112241,38356,3.3
42947,07/31/2017,2017,7,1155051,1116619,38432,3.3
42978,08/31/2017,2017,8,1150774,1112246,38528,3.3
43008,09/30/2017,2017,9,1159538,1124681,34857,3
43039,10/31/2017,2017,10,1158246,1126071,32175,2.8
43069,11/30/2017,2017,11,1163239,1129248,33991,2.9
43100,12/31/2017,2017,12,1161252,1128698,32554,2.8
43131,01/31/2018,2018,1,1165547,1129176,36371,3.1
43159,02/28/2018,2018,2,1180218,1143232,36986,3.1
43190,03/31/2018,2018,3,1179867,1143524,36343,3.1
43220,04/30/2018,2018,4,1184966,1152377,32589,2.8
43251,05/31/2018,2018,5,1183775,1151579,32196,2.7
43281,06/30/2018,2018,6,1193167,1154365,38802,3.3
43312,07/31/2018,2018,7,1193759,1155909,37850,3.2
43343,08/31/2018,2018,8,1184479,1147774,36705,3.1
43373,09/30/2018,2018,9,1190508,1155094,35414,3
43404,10/31/2018,2018,10,1200714,1167112,33602,2.8
43434,11/30/2018,2018,11,1204201,1170848,33353,2.8
43465,12/31/2018,2018,12,1203237,1169934,33303,2.8
43496,01/31/2019,2019,1,1205847,1165919,39928,3.3
43524,02/28/2019,2019,2,1214630,1179103,35527,2.9
43555,03/31/2019,2019,3,1213102,1179806,33296,2.7
43585,04/30/2019,2019,4,1214354,1185813,28541,2.4
43616,05/31/2019,2019,5,1212447,1183380,29067,2.4
43646,06/30/2019,2019,6,1223631,1188235,35396,2.9
43677,07/31/2019,2019,7,1228372,1191802,36570,3
43708,08/31/2019,2019,8,1224849,1189935,34914,2.9
43738,09/30/2019,2019,9,1231404,1198074,33330,2.7
43769,10/31/2019,2019,10,1238977,1207042,31935,2.6
43799,11/30/2019,2019,11,1243851,1212478,31373,2.5
43830,12/31/2019,2019,12,1242895,1213575,29320,2.4
43861,01/31/2020,2020,1,1247871,1213975,33896,2.7
43890,02/29/2020,2020,2,1257953,1225651,32302,2.6
43921,03/31/2020,2020,3,1231504,1181210,50294,4.1
43951,04/30/2020,2020,4,1160534,1030074,130460,11.2
43982,05/31/2020,2020,5,1197211,1071643,125568,10.5
44012,06/30/2020,2020,6,1221712,1113589,108123,8.9
44043,07/31/2020,2020,7,1232409,1134238,98171,8
44074,08/31/2020,2020,8,1241253,1162992,78261,6.3
44104,09/30/2020,2020,9,1245885,1172366,73519,5.9
44135,10/31/2020,2020,10,1260355,1197653,62702,5
44165,11/30/2020,2020,11,1266015,1202368,63647,5
44196,12/31/2020,2020,12,1267929,1205700,62229,4.9
44227,01/31/2021,2021,1,1265722,1200237,65485,5.2
44255,02/28/2021,2021,2,1276809,1211996,64813,5.1
44286,03/31/2021,2021,3,1279555,1217958,61597,4.8
44316,04/30/2021,2021,4,1288843,1233960,54883,4.3
