State,Highest Income Tax Rate,Population 
California,13,"39,664,128.00"
Iowa,9,"3,174,426.00"
New York,9,"19,223,191.00"
Vermont,9,"622,882.00"
Hawaii,8,"1,401,709.00"
Connecticut,7,"3,546,588.00"
Delaware,7,"998,619.00"
Idaho,7,"1,896,652.00"
Maine,7,"1,359,677.00"
Nebraska,7,"1,960,790.00"
South Carolina,7,"5,342,388.00"
Georgia,6,"10,936,299.00"
Louisiana,6,"4,616,106.00"
Maryland,6,"6,075,314.00"
Virginia,6,"8,638,218.00"
Illinois,5,"12,518,071.00"
Kansas,5,"2,919,179.00"
New Mexico,5,"2,109,093.00"
Utah,5,"3,363,182.00"
Indiana,3,"6,842,385.00"
Tennessee,1,"7,001,803.00"
Alabama,0,"4,949,697.00"
Alaska,0,"720,763.00"
Arizona,0,"7,640,796.00"
Arkansas,0,"3,042,017.00"
Colorado,0,"5,961,083.00"
Florida,0,"22,177,997.00"
Kentucky,0,"4,487,233.00"
Massachusetts,0,"6,922,107.00"
Michigan,0,"9,995,212.00"
Minnesota,0,"5,739,781.00"
Mississippi,0,"2,961,536.00"
Missouri,0,"6,184,843.00"
Montana,0,"1,093,117.00"
Nevada,0,"3,238,601.00"
New Hampshire,0,"1,378,449.00"
New Jersey,0,"8,870,685.00"
North Carolina,0,"10,807,491.00"
North Dakota,0,"774,008.00"
Ohio,0,"11,727,377.00"
Oklahoma,0,"4,007,179.00"
Oregon,0,"4,325,290.00"
Pennsylvania,0,"12,805,190.00"
Rhode Island,0,"1,062,583.00"
South Dakota,0,"902,542.00"
Texas,0,"30,097,526.00"
Washington,0,"7,887,965.00"
West Virginia,0,"1,755,715.00"
Wisconsin,0,"5,867,518.00"
Wyoming,0,"582,233.00"
