Date,Average Home Value
1/31/2012,204112
2/29/2012,204821
3/31/2012,205985
4/30/2012,207017
5/31/2012,208421
6/30/2012,209792
7/31/2012,210897
8/31/2012,211685
9/30/2012,211984
10/31/2012,212399
11/30/2012,212781
12/31/2012,213970
1/31/2013,215807
2/28/2013,217862
3/31/2013,219968
4/30/2013,222334
5/31/2013,224698
6/30/2013,226894
7/31/2013,228827
8/31/2013,230371
9/30/2013,231985
10/31/2013,233829
11/30/2013,236497
12/31/2013,238772
1/31/2014,240417
2/28/2014,242108
3/31/2014,244071
4/30/2014,246303
5/31/2014,248275
6/30/2014,250114
7/31/2014,251786
8/31/2014,253428
9/30/2014,255257
10/31/2014,257120
11/30/2014,259163
12/31/2014,261075
1/31/2015,262844
2/28/2015,264285
3/31/2015,265641
4/30/2015,267144
5/31/2015,268815
6/30/2015,270521
7/31/2015,272651
8/31/2015,274523
9/30/2015,276446
10/31/2015,278279
11/30/2015,280127
12/31/2015,282372
1/31/2016,284659
2/29/2016,286877
3/31/2016,288646
4/30/2016,289802
5/31/2016,290687
6/30/2016,291693
7/31/2016,293160
8/31/2016,294201
9/30/2016,295375
10/31/2016,297106
11/30/2016,299644
12/31/2016,301672
1/31/2017,302706
2/28/2017,303642
3/31/2017,304771
4/30/2017,306074
5/31/2017,307140
6/30/2017,308073
7/31/2017,308405
8/31/2017,308828
9/30/2017,309274
10/31/2017,310636
11/30/2017,312464
12/31/2017,314477
1/31/2018,316181
2/28/2018,317114
3/31/2018,317840
4/30/2018,318230
5/31/2018,318791
6/30/2018,319870
7/31/2018,320982
8/31/2018,322787
9/30/2018,323794
10/31/2018,325223
11/30/2018,325650
12/31/2018,326859
1/31/2019,328675
2/28/2019,331510
3/31/2019,333208
4/30/2019,334118
5/31/2019,334455
6/30/2019,335130
7/31/2019,335793
8/31/2019,336666
9/30/2019,338259
10/31/2019,338243
11/30/2019,338443
12/31/2019,338663
1/31/2020,340922
2/29/2020,342701
3/31/2020,345047
4/30/2020,347694
5/31/2020,350344
6/30/2020,351941
7/31/2020,353977
8/31/2020,357367
9/30/2020,362765
10/31/2020,368482
11/30/2020,375206
12/31/2020,381134
1/31/2021,386839
2/28/2021,397457
3/31/2021,413217
4/30/2021,435249
5/31/2021,457267
6/30/2021,481079
7/31/2021,501151
8/31/2021,516845
9/30/2021,524901
10/31/2021,531879
11/30/2021,539237
12/31/2021,550972
1/31/2022,563908
2/28/2022,577858
3/31/2022,589627
